ts,v,approach_lock,audio_ok,batt_a,batt_v,bilge_fwd,bilge_mid,bilge_rear,bridge_on,captured,captured_by,ch_guard,ch_gun_pan,ch_mode,ch_reverse,ch_rudder,ch_throttle,cog_trim,course,cruise_us,deck_on,depth_mode,esc_us,failsafe_ack,gps_fix,gun_pan_us,heading,heading_mag,heap,lat,lon,mag_baseline_uT,mag_cal_circ_pct,mag_cal_progress,mag_cal_quality,mag_cal_radius_uT,mag_cal_state,mag_cal_ts,mag_calibrated,mag_from_nvs,mag_off_x,mag_off_y,mag_off_z,mag_uT,mode,nav_on,pid_kd,pid_kp,pump,pump_cycle,pump_manual,pump_phase,pump_phase_ms,pump_stuck,radar_burst_ms,radar_on,radar_pause_ms,radar_speed,rc_age_ms,rc_ever_good,rudder_us,sats,session_id,speed_kts,uptime,wp_bearing,wp_dist_m,wp_lat,wp_lon,wp_set,wp_start_lat,wp_start_lon
2026-06-28T21:13:02.885Z,0.6.5,,,0.00,15.07,,,,,true,,,,,,,,,285.7,,,,1657,false,true,,283.2,,,38.846641,-77.167107,,,,,,,,,,,,,,MANUAL,,,,false,,,,,,,,,,,,1454,12,,1.5,673,,1.4,,,true,,
2026-06-28T21:13:03.885Z,0.6.5,,,0.00,15.08,,,,,true,,,,,,,,,288.1,,,,1663,false,true,,281.3,,,38.846645,-77.167122,,,,,,,,,,,,,,MANUAL,,,,false,,,,,,,,,,,,1523,12,,1.7,674,,2.2,,,true,,
2026-06-28T21:13:04.885Z,0.6.5,,,0.00,15.08,,,,,true,,,,,,,,,287.7,,,,1662,false,true,,279.4,,,38.846649,-77.167130,,,,,,,,,,,,,,MANUAL,,,,false,,,,,,,,,,,,1523,12,,1.9,675,,2.7,,,true,,
2026-06-28T21:13:05.885Z,0.6.5,,,0.00,15.08,,,,,true,,,,,,,,,288.8,,,,1662,false,true,,281.4,,,38.846653,-77.167145,,,,,,,,,,,,,,MANUAL,,,,false,,,,,,,,,,,,1523,12,,1.8,676,,4.0,,,true,,
2026-06-28T21:13:06.885Z,0.6.5,,,0.00,15.07,,,,,true,,,,,,,,,289.5,,,,1662,false,true,,283.1,,,38.846657,-77.167152,,,,,,,,,,,,,,MANUAL,,,,false,,,,,,,,,,,,1523,12,,1.9,677,,4.6,,,true,,
2026-06-28T21:13:07.885Z,0.6.5,,,0.00,15.04,,,,,true,,,,,,,,,290.7,,,,1659,false,true,,287.3,,,38.846661,-77.167168,,,,,,,,,,,,,,MANUAL,,,,false,,,,,,,,,,,,1485,12,,2.0,678,,6.0,,,true,,
2026-06-28T21:13:08.886Z,0.6.5,,,0.00,15.05,,,,,true,,,,,,,,,292.2,,,,1658,false,true,,287.6,,,38.846664,-77.167175,,,,,,,,,,,,,,MANUAL,,,,false,,,,,,,,,,,,1474,12,,1.9,679,,6.7,,,true,,
2026-06-28T21:13:09.886Z,0.6.5,,,0.00,15.08,,,,,true,,,,,,,,,292.0,,,,1662,false,true,,290.3,,,38.846668,-77.167191,,,,,,,,,,,,,,MANUAL,,,,false,,,,,,,,,,,,1523,12,,1.8,680,,8.1,,,true,,
2026-06-28T21:13:10.888Z,0.6.5,,,0.00,15.06,,,,,true,,,,,,,,,295.8,,,,1661,false,true,,286.1,,,38.846672,-77.167198,,,,,,,,,,,,,,MANUAL,,,,false,,,,,,,,,,,,1517,12,,2.0,681,,8.8,,,true,,
2026-06-28T21:13:11.888Z,0.6.5,,,0.00,15.05,,,,,true,,,,,,,,,293.7,,,,1663,false,true,,282.4,,,38.846676,-77.167213,,,,,,,,,,,,,,MANUAL,,,,false,,,,,,,,,,,,1522,12,,1.9,682,,10.2,,,true,,
2026-06-28T21:13:12.889Z,0.6.5,,,0.00,15.06,,,,,true,,,,,,,,,293.1,,,,1663,false,true,,283.5,,,38.846680,-77.167221,,,,,,,,,,,,,,MANUAL,,,,false,,,,,,,,,,,,1523,12,,2.0,683,,11.0,,,true,,
2026-06-28T21:13:13.889Z,0.6.5,,,0.00,15.08,,,,,true,,,,,,,,,291.4,,,,1663,false,true,,281.0,,,38.846683,-77.167229,,,,,,,,,,,,,,MANUAL,,,,false,,,,,,,,,,,,1523,12,,1.7,684,,11.7,,,true,,
